STUDENT ID,age,sex,High school,Scholarship,Regular activity,Sports,partner,Transportation ,Accommodation ,weekly study hour, Reading frequency (non-scientific books/journals):,Reading frequency (scientific books/journals),mpact of your projects/activities on your success,Listening in classes,Discussion improves my interest and success in the course:,Cumulative grade point average in the last semeste,Expected Cumulative grade point average in the graduation ,COURSE ID,GRADE
STUDENT1,2,2,3,3,1,2,2,1,1,1,1,2,3,1,2,5,3,2,2
STUDENT2,2,2,3,3,1,2,2,1,1,1,2,3,2,1,2,1,2,2,2
STUDENT3,2,2,2,3,2,2,2,2,4,2,2,2,2,1,2,1,2,1,2
STUDENT4,1,1,1,3,1,2,1,2,1,2,1,2,5,1,2,1,3,1,2
STUDENT5,2,2,1,3,2,2,1,3,1,4,3,3,2,1,2,4,2,1,1
STUDENT6,2,2,2,3,2,2,2,2,1,1,3,3,2,1,2,3,1,1,2
STUDENT7,1,2,2,4,2,2,2,1,1,3,1,3,1,1,2,4,2,2,2
STUDENT8,1,1,2,3,1,1,1,2,2,3,4,3,1,1,4,3,1,2,2
STUDENT9,2,1,3,3,2,1,1,1,1,3,2,4,2,1,2,4,1,2,2
STUDENT10,2,1,2,3,2,2,1,3,4,2,1,2,3,1,2,3,2,2,2
STUDENT11,1,1,1,3,2,2,2,3,2,3,3,4,2,1,3,2,1,1,1
STUDENT12,1,1,1,4,1,1,2,4,2,3,5,5,1,1,3,2,3,3,3
STUDENT13,1,1,1,4,2,2,2,1,1,1,3,5,4,2,2,2,3,2,2
STUDENT14,2,1,2,5,2,2,2,1,1,1,2,2,2,1,2,3,1,2,1
STUDENT15,3,2,2,4,1,1,2,3,4,2,3,1,2,1,4,1,2,2,2
STUDENT16,2,2,2,3,2,2,2,1,1,2,4,4,2,1,3,1,2,2,2
STUDENT17,1,1,2,5,2,1,2,1,1,1,2,2,4,1,2,3,2,2,2
STUDENT18,2,2,2,3,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2
STUDENT19,1,1,2,4,2,2,2,3,1,1,2,2,5,1,2,5,5,3,2
STUDENT20,1,2,1,3,2,2,1,2,2,2,3,3,3,1,2,4,4,2,2
STUDENT21,1,2,2,5,1,2,1,1,4,2,3,3,3,2,2,3,4,2,2
STUDENT22,1,2,2,5,2,2,1,1,4,2,2,2,4,1,2,3,3,2,2
STUDENT23,2,2,2,3,1,2,1,1,1,1,1,1,4,2,2,4,3,3,3
STUDENT24,3,2,2,2,1,1,2,5,1,1,1,4,3,1,2,1,3,2,3
STUDENT25,2,2,2,3,2,2,2,2,1,1,3,1,3,1,2,4,1,2,2
STUDENT26,2,2,2,3,2,2,1,1,1,2,1,4,3,1,2,4,2,2,2
STUDENT27,2,2,2,3,2,1,1,1,1,1,4,4,4,1,2,4,2,3,2
STUDENT28,1,2,1,3,1,2,2,1,1,1,1,1,4,1,2,3,3,2,2
STUDENT29,3,2,2,3,2,2,1,1,4,2,2,2,4,1,2,1,2,2,2
STUDENT30,2,2,3,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2
STUDENT31,2,2,2,5,1,1,1,1,1,2,1,1,5,1,2,4,2,2,2
STUDENT32,3,2,2,3,1,2,2,1,1,2,1,2,4,1,2,3,2,2,3
STUDENT33,2,1,2,3,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2
STUDENT34,2,1,2,3,1,2,1,1,1,1,1,2,5,1,2,3,2,1,2
STUDENT35,1,2,1,3,2,2,1,2,1,1,3,3,3,1,2,4,2,1,1
STUDENT36,1,2,1,4,2,2,2,3,1,1,1,2,5,1,2,3,2,2,2
